"family","sales"
"AUTOMOTIVE",554822
"BABY CARE",10051
"BEAUTY",337893
"BEVERAGES",216954486
"BOOKS",6438
"BREAD/BAKERY",42133945.576369
"CELEBRATION",761177
"CLEANING",97521289
"DAIRY",64487709
"DELI",24110322.468767
"EGGS",15588296
"FROZEN FOODS",14073887.7199105
"GROCERY I",343462734.886
"GROCERY II",1962767
"HARDWARE",103470
"HOME AND KITCHEN I",1861491
"HOME AND KITCHEN II",1520670
"HOME APPLIANCES",41601
"HOME CARE",16022744
"LADIESWEAR",651159
"LAWN AND GARDEN",548842
"LINGERIE",653114
"LIQUOR,WINE,BEER",7746640
"MAGAZINES",266359
"MEATS",31086468.4040749
"PERSONAL CARE",24592051
"PET SUPPLIES",356584
"PLAYERS AND ELECTRONICS",562608
"POULTRY",31876004.471721
"PREPARED FOODS",8799895.1169425
"PRODUCE",122704684.67646
"SCHOOL AND OFFICE SUPPLIES",269316
"SEAFOOD",2015431.8828236
